IDEspacio,Nombre del espacio,longitude,latitude,Responsable,Equipo humano, Trabajo remunerado alterno,Horas de trabajo,Perfiles,Sueldo/retribución económica,Sostenibilidad,Tipo de figura legal
1,Cineclub Torres del Parque ,-99.1178247019177,19.4669556882105,Mujer,Dos personas,Sí,1 a 2,Sin perfil,No,Propios,No aplica
2,Cine club El gato azul,-99.1676668358265,19.2658996798668,Mujer,De 3 a 5 personas,Sí,3 a 5,Especializado,No,Mixtos,Sin figura legal
3,MICAM,-99.1670039189255,19.2888403870231,Mujer,Dos personas,No,Sin información,Medianamente,No,Propios,No aplica
4,Cine Club Audiencia Soñada,-99.1027622626967,19.3002955323732,Hombre,De 3 a 5 personas,Sí,Más de 10 horas,Medianamente,Sí,Públicos,No aplica
5,Cine Club Villa Panamericana, -99.17102649338436,19.309269865596843,Mujer,De 3 a 5 personas,No,6 a 10,Especializado,No,Comunitarios,No aplica
6,Cineclub Cenit , -99.17587773426375,19.413156264877216,Hombre,Dos personas,Sí,6 a 10,Especializado,No,Propios,No aplica
7,Cine Club Indigente Copal, -99.17348081523556,19.259385663687752,Hombre,De 6 a 10 personas,Sí,6 a 10,Especializado,No,Mixtos,No aplica
8,CINE CLUB UNDERCITY, -99.10336505367894,19.447465386085803,Hombre,De 3 a 5 personas,Sí,3 a 5,Especializado,No,Mixtos,No aplica
9,Cine Club Xicalco,-99.16360555941111,19.235378119923098,Mujer,De 3 a 5 personas,Sí,3 a 5,Medianamente,No,Mixtos,No aplica
10,Escuela de Cronistas Carlos Monsiváis , -99.20563266125257,19.473581298978385,Hombre,De 3 a 5 personas,Sí,3 a 5,Especializado,No,Mixtos,No aplica
11,Conjunto Cultural Tepalcatlalpan, -99.12780576125623,19.248005005887613,Hombre,De 3 a 5 personas,Sí,6 a 10,Especializado,No,Propios,No aplica
12,Cinefilia Amerike , -99.1564570477593,19.37670701031945,Hombre,Una persona,Sí,3 a 5,Especializado,No,Propios,Sociedad Anónima de Capital Variable
13,Teatro Estefanía Chávez Barragán, -99.18646147227474,19.33324372953457,Mujer,De 3 a 5 personas,Sí,Más de 10 horas,Especializado,Sí,Públicos,No aplica
14,Cineclub CT6, -99.16124651707915,19.364478276002163,Hombre,Una persona,No,6 a 10,Especializado,No,Comunitarios,No aplica
15,Cine ComunitarioCABEZA DE JUÁREZ, -99.04167387843951,19.384110354035336,Hombre,Dos personas,No,1 a 2,Sin perfil,No,Propios,No aplica
16,Museo Nacional de Culturas Populares, -99.16072801892459,19.350018969370485,Mujer,Dos personas,Sí,Sin información,Especializado,Sí,Públicos,No aplica
17,Los carnales dos, -99.13283830542656,19.545340994062634,Hombre,De 3 a 5 personas,Sí,Más de 10 horas,Sin perfil,No,Propios,No aplica
18,Cine club de la Casa de Cultura Guillermo Bonfil Batalla ,-99.10079319008948,19.35961914804319,Mujer,De 3 a 5 personas,Sí,1 a 2,Sin perfil,No,Propios,No aplica
19,Sala Tepecuicatl , -99.1168963170771,19.489425691166527,Hombre,Dos personas,No,6 a 10,Sin perfil,Sí,Públicos,No aplica
20,Muestra de Cortometrajes el Cine desde Diversas Trincheras,-99.15465139008755,19.47856751845487,Hombre,Dos personas,Sí,Otro,Sin perfil,No,Propios,No aplica
21,"Espacio de exhibición Ágora, Galería del Pueblo", -99.13380162082697,19.431966671312516,Hombre,Dos personas,No,3 a 5,Sin perfil,No,Propios,No aplica
22,Granada Semillero de Arte,-99.19020550542834,19.439235347512916,Hombre,De 3 a 5 personas,Sí,6 a 10,Especializado,No,Propios,No aplica
23,Centro Cultural Xitle ,-99.2115325,19.4969147,Mujer,Dos personas,No,Otro,Sin perfil,No,Propios,Asociación Civil
24,Cineclub SAE Institute México, -99.18012840358345,19.41437288253694,Hombre,De 3 a 5 personas,Sí,6 a 10,Especializado,No,Privados,Asociación Civil
25,Cineclub Identidad, -99.09323194591607,19.241550790127423,Hombre,De 3 a 5 personas,Sí,6 a 10,Especializado,No,Públicos,No aplica
26,Cinema Volcán, -99.14357885940971,19.323415721879122,Mujer,De 3 a 5 personas,Sí,Otro,Especializado,Sí,Propios,Fideicomiso
27,Cine Ágora,-99.13388743241823,19.431997071171853,Hombre,De 3 a 5 personas,No,3 a 5,Sin perfil,No,Propios,No aplica
28,Instituto del Derecho de Asilo Museo casa de León Trotsky AC, -99.15962151707922,19.357907361042408,Mujer,De 3 a 5 personas,No,1 a 2,Especializado,Sí,Mixtos,Asociación Civil
29,Cine Club ComunitarioMadeja de Ideas,-99.11855219009098,19.26332373251993,Hombre,Dos personas,Sí,1 a 2,Medianamente,No,Comunitarios,No aplica
30,Cinema Axólotl, -99.07845018503639,19.248363467906387,Mujer,Una persona,Sí,3 a 5,Especializado,No,Públicos,No aplica
31,Universidad del Cine, -99.1928472170796,19.336790554183292,Hombre,Una persona,Sí,3 a 5,Especializado,Sí,Privados,Asociación Civil
32,Un paseo por los libros A.C. (espacio de exhibición), -99.13276618232018,19.429342290342664,Mujer,De 3 a 5 personas,No,6 a 10,Especializado,Sí,Mixtos,Asociación Civil
33,Cinequimera IEMS Preparatoria José Revueltas Sánchez, -99.11743306125334,19.427964194656195,Mujer,De 3 a 5 personas,No,6 a 10,Sin perfil,No,Propios,No aplica
34,Cineclub Infonavit Iztacalco  ,-99.10549612570324,19.38327578248092,Mujer,Dos personas,No,Más de 10 horas,Especializado,No,Propios,No aplica
35,Espacio de exhibición Orizaba 161, -99.15902157100848,19.414855489861093,Mujer,Dos personas,Sí,6 a 10,Sin perfil,Sí,Privados,No aplica
36,"Cineclub ""Cinema Verde""",-99.14256936711867,19.36426837880653,Mujer,Dos personas,Sí,3 a 5,Especializado,No,Propios,No aplica
37,UHLV , -99.16204950865185,19.504533835175675,Hombre,De 3 a 5 personas,Sí,3 a 5,Medianamente,No,Propios,No aplica
38,Terminal Coyacán, -99.17278763057426,19.34805657977324,Mujer,De 3 a 5 personas,No,6 a 10,Sin perfil,No,Propios,No aplica
39,Casa Gallina AC. , -99.15996111892308,19.45083034702593,Mujer,De 6 a 10 personas,No,3 a 5,Especializado,Sí,Mixtos,Asociación Civil
40,Cineteca San Lazaro,-99.11777360358317,19.43047343089623,Hombre,De 3 a 5 personas,Sí,1 a 2,Especializado,No,Públicos,No aplica
41,ZIFF CINECLUB ,-99.15420150358338,19.421827266778003,Hombre,De 3 a 5 personas,Sí,6 a 10,Especializado,No,Propios,No aplica
42,CINECLUB CULHUACÁN,-99.1095124643844,"
19.318648",Mujer,De 3 a 5 personas,Sí,3 a 5,Especializado,No,Propios,Asociación Civil
43,Cine Tlacuache, -99.01146480465135,19.254901680268958,Mujer,Dos personas,Sí,3 a 5,Especializado,No,Públicos,No aplica
44,Cinito Tlacuache La Villa ,-99.113922,19.4812995,Sin información,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Públicos,Sin información
45,LA CALACA Espacio Cultural ,-99.18577786309923,19.387988970132533,Hombre,De 3 a 5 personas,No,6 a 10,Sin perfil,No,Propios,No aplica
46,Cinema Faraíso en Faro Tláhuac,-99.04633563711769,19.28590482219141,Mujer,De 3 a 5 personas,No,1 a 2,Especializado,Sí,Públicos,No aplica
47,FARO Cosmos,-99.16616227474795,19.44383698886285,No deseo responder,De 6 a 10 personas,Sí,Más de 10 horas,Especializado,No,Públicos,Sin figura legal
48,Museo Comunitariode San Miguel Teotongo, -98.98769497474957,19.34388333810214,Mujer,De 3 a 5 personas,No,1 a 2,Sin perfil,Sí,Públicos,No aplica
49,Cine club Butaca Serdán- Preparatoria Carmen Serdán IEMS, -99.20075054775803,19.453562878023796,Mujer,Dos personas,No,3 a 5,Especializado,No,Públicos,Sin figura legal
50,"Cineclub ""Vicente Rojo"" del Centro Cultural de la SHCP",-99.12882225103913,19.434663174234693,Mujer,De 3 a 5 personas,Sí,6 a 10,Especializado,Sí,Públicos,No aplica
51,Cine Foro UPAVIG, -99.10229161851679,19.30369682357089,Mujer,Una persona,Sí,1 a 2,Especializado,No,Públicos,Sin figura legal
52,La Sabana de filmes,-98.9961505199202,19.3422079800243,Hombre,De 3 a 5 personas,Sí,6 a 10,Sin perfil,No,Propios,Sin figura legal
53,CineClubA7,-99.1502664413732,19.3509721456412,Hombre,De 3 a 5 personas,No,3 a 5,Sin perfil,No,Privados,Sin figura legal
54,Centro Cultural del México Contemporáneo, -99.13402882036509,19.43906160614384,Hombre,Dos personas,Sí,6 a 10,Sin perfil,Sí,Mixtos,Asociación Civil
55,Ícaro Espacio,-99.19841734775994,19.339221074635663,Mujer,Dos personas,No,3 a 5,Medianamente,No,Propios,No aplica
56,Salón Rojo Cineclub, -99.13744684734921,19.43750694625864,Hombre,De 6 a 10 personas,Sí,6 a 10,Especializado,Sí,Propios,Asociación Civil
57,Cineclub LA VENTANA,-99.15116136084264,19.385816672702962,Hombre,Dos personas,No,1 a 2,Especializado,No,Propios,Asociación Civil
58,Cine Club Revolución ,-99.15456893057285,19.43637929544602,Mujer,Una persona,Sí,1 a 2,Especializado,No,Propios,No aplica
59,Cineclub TAC toma de acción comunitaria, -99.13486815153186,19.487944943444052,Mujer,De 3 a 5 personas,No,1 a 2,Especializado,No,Propios,Asociación Civil
60,"La Grieta Cine (cineclub, laboratorio)", -99.14033798967886,19.37481974947214,Hombre,De 3 a 5 personas,Sí,3 a 5,Especializado,No,Propios,No aplica
61,Espacio de convivencia,-99.15632665940831,19.409941096791034,Mujer,De 3 a 5 personas,Sí,3 a 5,Especializado,Sí,Internacionales,Asociación Civil
62,Cineclub Jarillas,-99.10983840422878,19.39760762571872,Mujer,De 3 a 5 personas,No,1 a 2,Sin perfil,No,Comunitarios,No aplica
63,Cineclub Micelio,-99.1844156935196,19.4033687689994,Hombre,De 3 a 5 personas,Sí,6 a 10,Medianamente,No,Propios,Sin figura legal
64,Cineclub Audiovideorama Parque Hundido,-99.17809244471539,19.37862610275024,Mujer,Dos personas,Sí,3 a 5,Especializado,Sí,Públicos,No aplica
65,Complejo cultural Barco Utopía ,-99.05716047618718,19.362562154318802,Hombre,Más de 10 personas,Sí,3 a 5,Sin perfil,No,Públicos,No aplica
66,Cineclub Mora (espacio de exhibición),-99.18510474232468,19.37608181160185,Mujer,De 3 a 5 personas,No,3 a 5,Especializado,No,Públicos,No aplica
67,CERES-CINE CLUB ,-99.10132819999998,19.48731481352005,Hombre,De 3 a 5 personas,No,3 a 5,Especializado,No,Propios,No aplica
68,CINE CLUB Cine Vagabundo ,-99.0498364338605,19.310841286364802,Mujer,De 3 a 5 personas,No,6 a 10,Especializado,No,Propios,No aplica
69,"Casa de Cultura ""La Villa""",-99.11430729628465,19.482923696761432,Mujer,Una persona,Sí,Más de 10 horas,Sin perfil,Sí,Públicos,No aplica
70,FARO Tecómitl,-98.9952336266707,19.2214694335082,Hombre,De 3 a 5 personas,Sí,3 a 5,Especializado,No,Públicos,No aplica
71,Centro Cultural La Pirámide ,-99.18989004735053,19.385939254832277,Hombre,De 3 a 5 personas,No,3 a 5,Sin perfil,No,Privados,No aplica
72,Centro cultural José Martí ,-99.14628968597354,19.437029825175696,Hombre,De 3 a 5 personas,Sí,3 a 5,Sin perfil,Sí,Privados,No aplica
73,FARO de Oriente ,-99.0100822,19.3699235,Hombre,Dos personas,No,3 a 5,Sin perfil,No,Públicos,No aplica
74,Centro cultural Xavier Villaurrutia ,-99.16191517433369,19.423882918718174,Mujer,De 3 a 5 personas,Sí,3 a 5,Especializado,Sí,Públicos,No aplica
75,Casa de Cultura El Sifón,-99.1195113091654,19.3718517470801,Hombre,Dos personas,Sí,Más de 10 horas,Especializado,No,Propios,No aplica
76,Cineclub Luciérnaga,-99.1697469324208,19.268179239174504,Mujer,De 3 a 5 personas,Sí,3 a 5,Especializado,No,Sin información ,No aplica
77,Museo del Pulque y las Pulquerías,-99.147062385566,19.4377071221992,Hombre,De 3 a 5 personas,Sí,Sin información,Sin perfil,Sí,Mixtos,Asociación Civil
78,Viendo LA VIDA CON ALEGRIA, -99.02076569727227,19.295145059893226,Mujer,De 3 a 5 personas,No,1 a 2,Sin perfil,No,Sin información,No aplica
79,Centro Cultural  y Laboratorio ,-99.19423055978685,19.286824026376667,Mujer,Dos personas,No,3 a 5,Sin perfil,No,Comunitarios,No aplica
80,Cineteca para raros,,,No binaria,De 3 a 5 personas,Sí,3 a 5,Especializado,No,Propios,No aplica
81,Ovnibus,-99.15836364920175,19.411822360909554,No deseo responder,De 3 a 5 personas,No,3 a 5,Especializado,No,Propios,No aplica
82,Cineclub El Umbral ,-99.18955526209598,19.513448929751018,Mujer,De 3 a 5 personas,No,3 a 5,Especializado,No,Propios,Sociedad 
83,Casa de las Artes Cuauhtenco,-99.09012004735564,19.1911281299955,Mujer,De 3 a 5 personas,Sí,3 a 5,Especializado,No,Comunitarios,Sin figura legal
84,Cineclubes Foro arteria ,-99.042345462697,19.290074944654723,Hombre,De 3 a 5 personas,No,Más de 10 horas,Especializado,No,Públicos,Sociedad de Responsabilidad Limitada
85,Cine Club Casa de las Bombas ,-99.07347654735132,19.35664515344252,Mujer,De 3 a 5 personas,No,6 a 10,Especializado,Sí,Públicos,Asociación Civil
86,ENCUENTRO CINECLUB,-98.99683821851593,19.33528882718897,Hombre,De 3 a 5 personas,Sí,6 a 10,Especializado,No,Comunitarios,No aplica
87,Cine club Conagua,-99.18944373385979,19.337474506185753,Mujer,De 3 a 5 personas,Sí,3 a 5,Sin perfil,No,Públicos,No aplica
88,CENTRO CULTURAL REAL UNDER / CINEMAUNDER,-99.14809170131998,19.339682180281837,No deseo responder,De 3 a 5 personas,Sí,6 a 10,Sin perfil,No,Propios,No aplica
89,Cineclub Cosmología México,-99.06952102036387,19.485071511954178,Hombre,De 3 a 5 personas,Sí,6 a 10,Especializado,No,Propios,No aplica
90,Casa ciclista Xochimilco ,-99.04774567618992,19.258083151659662,Hombre,De 3 a 5 personas,Sí,3 a 5,Sin perfil,No,Comunitarios,No aplica
91,cineclub Infonavit Iztacalco ,-99.10578962298275,19.38622103578644,Mujer,Dos personas,No,Más de 10 horas,Especializado,No,Propios,No aplica
92,Casa de la Primera Imprenta de América ,-99.13082252036519,19.43392747956824,Mujer,De 3 a 5 personas,No,6 a 10,Sin perfil,Sí,Públicos,No aplica
93,“KILITA RESISTENCIA” taller/centro cultural ,-99.30755078782754,19.355608010459626,Mujer,De 3 a 5 personas,Sí,1 a 2,Sin perfil,Sí,Públicos,No aplica
94,Uotan Studio,-99.17679716269376,19.41409887689078,Mujer,Dos personas,Sí,3 a 5,Sin perfil,No,Privados,Sociedad de Responsabilidad Limitada
95,Cineclub Cinema 1917,-99.06405154920347,19.345354466645695,Hombre,De 3 a 5 personas,Sí,6 a 10,Medianamente,No,Propios,No aplica
96,La pulguita cinéfila (foro cultural),-99.11722218650795,19.48160173193614,Mujer,Una persona,Sí,6 a 10,Sin perfil,Sí,Propios,No aplica
97,FORO ELEFANTE (Espacio de exhibición independiente autogestivo) ,-99.19432632036904,19.286903922849724,Hombre,De 3 a 5 personas,No,3 a 5,Sin perfil,No,Propios,No aplica
98,"Centro Universitario Cultural, A. C.",-99.18210231666404,19.335815773800963,Mujer,De 3 a 5 personas,No,6 a 10,Especializado,Sí,Propios,Asociación Civil
99,Cineclub CINEITIZ ,-99.0528847591217,19.373846196709312,Mujer,De 6 a 10 personas,Sí,6 a 10,Medianamente,Sí,Públicos,No aplica
100,Comunidad nueva ,-99.14200786084098,19.447529749866618,Hombre,De 3 a 5 personas,Sí,1 a 2,Sin perfil,No,Comunitarios,No aplica
101,CINECLUB Barrio Warrior Colectivo A.C.,-99.13845756084069,19.458029422905877,Hombre,De 3 a 5 personas,Sí,3 a 5,Especializado,No,Comunitarios,Asociación Civil
102,Alianza francesa - San Ángel,-99.1862279,19.34839,Mujer,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Propios,Sin información
103,Cine Club El Carmen en Familia ,-99.1897902690001,19.3453485065636,Mujer,De 3 a 5 personas,Sin información,Sin información,Especializado,Sin información,Propios,No aplica
104,Cineclub Comunicación IBERO,-99.2644415769556,19.3711311826042,Hombre,Una persona,Sí,Sin información,Especializado,Sin información,Sin información,Sin información
105,LA ARAÑA,-99.2403137,19.3626389,Hombre,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
