IDEspacio,Nombre del espacio,longitude,latitude,Espacio físico permanente,Tipo de espacio físico,Espacio especializado,Tipo de equipamiento,Archivo fílmico,Videoteca,Tipo de archivo,Redes
1,Cineclub Torres del Parque ,-99.1178247019177,19.4669556882105,No,Sin información,Sala de cine,Equipamiento adecuado,No,No,Otro,Sí
2,Cine club El gato azul,-99.1676668358265,19.2658996798668,Sí,Comunitario,Adaptado,Equipamiento adecuado,No,Sí,Mixto,Sí
3,MICAM,-99.1670039189255,19.2888403870231,No aplica,No aplica,No aplica,Equipamiento profesional,Sí,No,Otro,No
4,Cine Club Audiencia Soñada,-99.1027622626967,19.3002955323732,Sí,Privado,Sala de proyecciones,Equipamiento adecuado,Sí,Sí,Físico,Sí
5,Cine Club Villa Panamericana, -99.17102649338436,19.309269865596843,Sí,Comunitario,Adaptado,Equipamiento insuficiente,No,No,Otro,No
6,Cineclub Cenit , -99.17587773426375,19.413156264877216,No aplica,Prestado,Adaptado,Equipamiento mínimo,No,No,Digital,No
7,Cine Club Indigente Copal, -99.17348081523556,19.259385663687752,No,Prestado,Adaptado,Equipamiento mínimo,Sí,Sí,Mixto,No
8,CINE CLUB UNDERCITY, -99.10336505367894,19.447465386085803,Sí,Comunitario,Adaptado,Equipamiento mínimo,No,No,Digital,No
9,Cine Club Xicalco,-99.16360555941111,19.235378119923098,No,No aplica,Adaptado,Equipamiento mínimo,No,No,Mixto,No
10,Escuela de Cronistas Carlos Monsiváis , -99.20563266125257,19.473581298978385,No aplica,Comunitario,Adaptado,Equipamiento mínimo,Sí,No,Mixto,Sí
11,Conjunto Cultural Tepalcatlalpan, -99.12780576125623,19.248005005887613,Sí,Público,Adaptado,Equipamiento mínimo,No,No,Digital,Sí
12,Cinefilia Amerike , -99.1564570477593,19.37670701031945,Sí,Propio,Sala de proyecciones,Equipamiento adecuado,No,No,Digital,No
13,Teatro Estefanía Chávez Barragán, -99.18646147227474,19.33324372953457,Sí,Público,Sala de proyecciones,Equipamiento profesional,No,No,Otro,No
14,Cineclub CT6, -99.16124651707915,19.364478276002163,Sí,Comunitario,Sala de proyecciones,Equipamiento profesional,No,No,Digital,No
15,Cine ComunitarioCABEZA DE JUÁREZ, -99.04167387843951,19.384110354035336,Sí,Comunitario,Adaptado,Equipamiento insuficiente,No,No,Digital,Sí
16,Museo Nacional de Culturas Populares, -99.16072801892459,19.350018969370485,Sí,Propio,Adaptado,Equipamiento mínimo,No,No,Otro,No
17,Los carnales dos, -99.13283830542656,19.545340994062634,Sí,Propio,Adaptado,Equipamiento adecuado,Sí,No,Digital,No
18,Cine club de la Casa de Cultura Guillermo Bonfil Batalla ,-99.10079319008948,19.35961914804319,Sí,Público,Adaptado,Equipamiento mínimo,Sí,No,Físico,No
19,Sala Tepecuicatl , -99.1168963170771,19.489425691166527,Sí,Público,Adaptado,Equipamiento adecuado,Sí,No,Digital,No
20,Muestra de Cortometrajes el Cine desde Diversas Trincheras,-99.15465139008755,19.47856751845487,No,No aplica,Adaptado,Equipamiento mínimo,No,Sí,Digital,No
21,"Espacio de exhibición Ágora, Galería del Pueblo", -99.13380162082697,19.431966671312516,Sí,Propio,Adaptado,Equipamiento mínimo,No,No,Físico,No
22,Granada Semillero de Arte,-99.19020550542834,19.439235347512916,Sí,Prestado,Adaptado,Equipamiento insuficiente,No,No,Otro,No
23,Centro Cultural Xitle ,-99.2115325,19.4969147,Sí,Rentado,Adaptado,Equipamiento mínimo,No,No,Otro,No
24,Cineclub SAE Institute México, -99.18012840358345,19.41437288253694,Sí,Público,Adaptado,Equipamiento insuficiente,No,Sí,Físico,No
25,Cineclub Identidad, -99.09323194591607,19.241550790127423,Sí,Privado,Adaptado,Equipamiento adecuado,Sí,No,Físico,Sí
26,Cinema Volcán, -99.14357885940971,19.323415721879122,Sí,Privado,Sin información,Equipamiento mínimo,No,No,Otro,No
27,Cine Ágora,-99.13388743241823,19.431997071171853,Sí,Privado,Sala de proyecciones,Equipamiento mínimo,No,No,Físico,No
28,Instituto del Derecho de Asilo Museo casa de León Trotsky AC, -99.15962151707922,19.357907361042408,Sí,Privado,Adaptado,Equipamiento insuficiente,No,No,Otro,No
29,Cine Club ComunitarioMadeja de Ideas,-99.11855219009098,19.26332373251993,No aplica,Comunitario,Adaptado,Equipamiento mínimo,No,No,Otro,No
30,Cinema Axólotl, -99.07845018503639,19.248363467906387,Sí,Público,Adaptado,Equipamiento mínimo,No,No,Digital,No
31,Universidad del Cine, -99.1928472170796,19.336790554183292,Sí,Rentado,Adaptado,Equipamiento mínimo,Sí,Sí,Digital,Sí
32,Un paseo por los libros A.C. (espacio de exhibición), -99.13276618232018,19.429342290342664,Sí,Privado,Adaptado,Equipamiento mínimo,No,No,Otro,No
33,Cinequimera IEMS Preparatoria José Revueltas Sánchez, -99.11743306125334,19.427964194656195,Sí,Público,Adaptado,Equipamiento adecuado,No,No,Físico,No
34,Cineclub Infonavit Iztacalco  ,-99.10549612570324,19.38327578248092,Sí,Comunitario,Adaptado,Equipamiento mínimo,No,Sí,Digital,Sí
